Week #,Task #,Task Description,Estimated Time (Hours),Complete? (Y/N)
4,1,Create the template task list,0.25,Y
4,2,Choose research question.,1,Y
4,3,"Draft Section I, II",3,Y
4,4,Draft Section III,3,Y
4,5,Validate equations and cognitive science ideas with research papers,4,Y
4,6,Finalize Project Pitch,1,Y
4,7,Review Pitch against rubric,0.5,Y
4,8,Submit Pitch,0.25,Y
PROJECT PITCH DUE
5,9,Implement Synthetic Gaussian Data Generator (Random Walk),2,N
5,10,Implement Order Book (Limit vs Market Orders),4,N
5,11,Implement Trade Execution (Matching Engine),3,N
5,12,Implement Clearing Market & Net Worth Conservation Check,2,N
5,13,Acquire S&P 500 Data (Strictly for VALIDATION comparison),1,N
5,14,Create agent class structure (barebones),1,N
6,15,Implement Base-Level Activation Equation (ACT-R),3,N
6,16,Implement Similarity & Context Math,3,N
6,17,Implement Noise Parameter (epsilon) & Sigmoid,2,N
6,18,Verify memory retrieval & forgetting curve mechanics,2,N
7,19,Build simulation loop (Target: 2000 steps for class),3,N
7,20,Implement random portfolio allocations,2,N
7,21,Deploy agents to market (N=50),3,N
7,22,Visualize single-run price history (Sanity Check),2,N
8,23,"Test A: Zero Decay Baseline (d=0) on Gaussian Input",2,N
8,24,"Test B: Biological Decay (d=0.5) on Gaussian Input",2,N
8,25,Draft Midpoint Check-in Report,2,N
8,26,Submit Midpoint Check-in,0.25,N
OPTIONAL MIDPOINT CHECK-IN DUE
9,27,Build Monte Carlo Wrapper (10 runs per condition),3,N
9,28,"Implement Decay Sweep (0.1 - 0.9) & Noise Sweep (0.1 - 0.5)",3,N
9,29,Run Full Experiment (Phase 1: N=50),5,N
9,30,"Implement GARCH(1,1) Statistical Baseline",3,N
10,31,Calculate Kurtosis & Tail Metrics (Agents vs S&P vs GARCH),3,N
10,32,"Visualize ""The Gap"" (Agent Volatility vs GARCH Volatility)",2,N
10,33,Visualize Return Distribution Histograms,2,N
10,34,Analyze Sensitivity: Does higher noise stabilize the market?,3,N
11,35,"BUFFER: Debugging / Parameter Tuning",7.25,N
11,36,Draft Results Section (Tables & Graphs),3,N
12,37,Draft Discussion: Mechanism of Action (Pruning),3,N
12,38,Draft Introduction & Lit Review (Resource-Rationality),3,N
12,39,"Format citations (Marr, Simon, Zhu & Griffiths)",1,N
12,40,Draft Conclusion & Future Work (Scaling to N=5000),1,N
13,41,Record Presentation Video script,2,N
13,42,Record Video & Edit,4,N
13,43,Final Polish of PDF Report,2,N
14,44,Submit Final Report & Video,0.5,N
FINAL SUBMISSION DUE